AllowanceID,EmployeeID,AllowanceType,Amount,AllowanceDate,Comment
1,1,salary,1343.41,2010-10-15 00:31:15,
2,1,annual bonus,9297.32,2010-12-15 00:31:15,
3,1,salary,1106.29,2011-04-15 00:31:15,
4,1,training,6675.91,2011-07-01 00:31:15,
5,1,salary,1321.36,2011-07-15 00:31:15,
6,1,salary,2403.27,2011-09-30 00:31:15,
7,1,annual bonus,7362.88,2011-12-15 00:31:15,
8,1,salary,2176.93,2011-12-30 00:31:15,
9,1,salary,1285.61,2012-03-30 00:31:15,
10,1,salary,1646.58,2012-06-15 00:31:15,
11,1,training,5868.1,2012-07-01 00:31:15,
12,1,salary,2093.61,2012-11-30 00:31:15,
13,1,annual bonus,9919.84,2012-12-15 00:31:15,
14,1,salary,1147.63,2013-02-15 00:31:15,
15,1,salary,1508.95,2013-03-15 00:31:15,
16,1,training,4994.63,2013-07-01 00:31:15,
17,1,salary,1285.31,2013-08-30 00:31:15,
18,1,salary,1632.82,2013-11-15 00:31:15,
19,1,annual bonus,6248.78,2013-12-15 00:31:15,
20,1,salary,2384.9,2014-05-30 00:31:15,
21,1,training,7445.4,2014-07-01 00:31:15,
22,1,salary,1825.49,2014-08-15 00:31:15,
23,1,annual bonus,9995.41,2014-12-15 00:31:15,
24,1,salary,2254.04,2015-01-30 00:31:15,
25,1,salary,2389.55,2015-05-15 00:31:15,
26,1,training,4665.24,2015-07-01 00:31:15,
27,1,salary,1728.46,2015-10-30 00:31:15,
28,1,annual bonus,7004.8,2015-12-15 00:31:15,
29,1,salary,1087.95,2016-01-15 00:31:15,
30,1,salary,2477.96,2016-04-15 00:31:15,
31,1,training,7136.28,2016-07-01 00:31:15,
32,1,salary,1682.51,2016-07-15 00:31:15,
33,1,salary,2435.98,2016-09-30 00:31:15,
34,1,annual bonus,7778.29,2016-12-15 00:31:15,
35,1,salary,2077.61,2016-12-30 00:31:15,
36,1,salary,1445.06,2017-06-30 00:31:15,
37,1,training,6316.72,2017-07-01 00:31:15,
38,1,salary,1813.29,2017-09-15 00:31:15,
39,1,salary,1085.75,2017-12-15 00:31:15,
40,1,annual bonus,7513.75,2017-12-15 00:31:15,
41,1,salary,2279.08,2018-03-30 00:31:15,
42,1,salary,2441.17,2018-06-15 00:31:15,
43,1,training,4743.3,2018-07-01 00:31:15,
44,1,salary,1892.55,2018-11-30 00:31:15,
45,1,annual bonus,6175.78,2018-12-15 00:31:15,
46,1,salary,1179.83,2019-02-15 00:31:15,
47,1,salary,1369.32,2019-03-15 00:31:15,
48,1,training,6477.53,2019-07-01 00:31:15,
49,1,salary,1628.84,2019-08-30 00:31:15,
50,1,salary,1784.17,2019-11-15 00:31:15,
51,1,annual bonus,6021.09,2019-12-15 00:31:15,
52,1,salary,2074.29,2020-05-15 00:31:15,
53,1,training,5583.14,2020-07-01 00:31:15,
54,1,salary,2007.54,2020-10-30 00:31:15,
55,1,annual bonus,6580.57,2020-12-15 00:31:15,
56,1,salary,2127.8,2021-01-15 00:31:15,
57,1,salary,1687.43,2021-04-30 00:31:15,
58,1,training,7984.39,2021-07-01 00:31:15,
59,1,salary,1109.89,2021-07-30 00:31:15,
60,1,salary,1397.8,2021-10-15 00:31:15,
61,1,annual bonus,9403.44,2021-12-15 00:31:15,
62,1,salary,2318.91,2022-04-15 00:31:15,
63,1,training,4630.99,2022-07-01 00:31:15,
64,1,salary,2250.62,2022-07-15 00:31:15,
65,1,salary,1917.52,2022-09-30 00:31:15,
66,1,annual bonus,8269.23,2022-12-15 00:31:15,
67,1,salary,1011.73,2022-12-30 00:31:15,
68,1,salary,1449.07,2023-06-30 00:31:15,
69,1,training,7755.72,2023-07-01 00:31:15,
70,1,salary,1201.44,2023-09-15 00:31:15,
71,1,salary,1160.55,2023-12-15 00:31:15,
72,1,annual bonus,6361.47,2023-12-15 00:31:15,
73,1,salary,1907.24,2024-03-15 00:31:15,
74,1,training,4814.39,2024-07-01 00:31:15,
75,1,salary,1951.36,2024-08-30 00:31:15,
76,2,salary,1732.8,2010-10-15 00:31:15,
77,2,annual bonus,9229.67,2010-12-15 00:31:15,
78,2,salary,1138.45,2011-04-15 00:31:15,
79,2,training,5106.72,2011-07-01 00:31:15,
80,2,salary,1005.32,2011-07-15 00:31:15,
81,2,salary,1955.67,2011-09-30 00:31:15,
82,2,annual bonus,8705.41,2011-12-15 00:31:15,
83,2,salary,1827.52,2011-12-30 00:31:15,
84,2,salary,1014.5,2012-03-30 00:31:15,
85,2,salary,2324.66,2012-06-15 00:31:15,
86,2,training,6182.36,2012-07-01 00:31:15,
87,2,salary,2251.89,2012-11-30 00:31:15,
88,2,annual bonus,5740.32,2012-12-15 00:31:15,
89,2,salary,1191.17,2013-02-15 00:31:15,
90,2,salary,2348.47,2013-03-15 00:31:15,
91,2,training,7442.81,2013-07-01 00:31:15,
92,2,salary,2348.39,2013-08-30 00:31:15,
93,2,salary,1374.29,2013-11-15 00:31:15,
94,2,annual bonus,8899.8,2013-12-15 00:31:15,
95,2,salary,2326.2,2014-05-30 00:31:15,
96,2,training,6482.65,2014-07-01 00:31:15,
97,2,salary,1231.83,2014-08-15 00:31:15,
98,2,annual bonus,9322.16,2014-12-15 00:31:15,
99,2,salary,2464.31,2015-01-30 00:31:15,
100,2,salary,,2015-05-15 00:31:15,leave
101,2,training,7129.55,2015-07-01 00:31:15,
102,2,salary,1617.57,2015-10-30 00:31:15,
103,2,annual bonus,8674.55,2015-12-15 00:31:15,
104,2,salary,1372.25,2016-01-15 00:31:15,
105,2,salary,2051.92,2016-04-15 00:31:15,
106,2,training,4154.9,2016-07-01 00:31:15,
107,2,salary,1706.04,2016-07-15 00:31:15,
108,2,salary,2377.68,2016-09-30 00:31:15,
109,2,annual bonus,9101.86,2016-12-15 00:31:15,
110,2,salary,2306.98,2016-12-30 00:31:15,
111,2,salary,1990.05,2017-06-30 00:31:15,
112,2,training,5114.41,2017-07-01 00:31:15,
113,2,salary,1104.13,2017-09-15 00:31:15,
114,2,salary,1526.72,2017-12-15 00:31:15,
115,2,annual bonus,8396.91,2017-12-15 00:31:15,
116,2,salary,2265.49,2018-03-30 00:31:15,
117,2,salary,1041.4,2018-06-15 00:31:15,
118,2,training,5044.86,2018-07-01 00:31:15,
119,2,salary,1870.88,2018-11-30 00:31:15,
120,2,annual bonus,5191.25,2018-12-15 00:31:15,
121,2,salary,1894.86,2019-02-15 00:31:15,
122,2,salary,2179.64,2019-03-15 00:31:15,
123,2,training,7936.94,2019-07-01 00:31:15,
124,2,salary,1173.47,2019-08-30 00:31:15,
125,2,salary,,2019-11-15 00:31:15,leave
126,2,annual bonus,5008.45,2019-12-15 00:31:15,
127,2,salary,2388.36,2020-05-15 00:31:15,
128,2,training,6877.72,2020-07-01 00:31:15,
129,2,salary,2112.93,2020-10-30 00:31:15,
130,2,annual bonus,6820.74,2020-12-15 00:31:15,
131,2,salary,1104.96,2021-01-15 00:31:15,
132,2,salary,1495.3,2021-04-30 00:31:15,
133,2,training,7392.06,2021-07-01 00:31:15,
134,2,salary,2079.63,2021-07-30 00:31:15,
135,2,salary,1463.93,2021-10-15 00:31:15,
136,2,annual bonus,7011.6,2021-12-15 00:31:15,
137,2,salary,1443.48,2022-04-15 00:31:15,
138,2,training,5681.79,2022-07-01 00:31:15,
139,2,salary,2410.55,2022-07-15 00:31:15,
140,2,salary,2354.21,2022-09-30 00:31:15,
141,2,annual bonus,6504.45,2022-12-15 00:31:15,
142,2,salary,,2022-12-30 00:31:15,leave
143,2,salary,1315.27,2023-06-30 00:31:15,
144,2,training,6426.65,2023-07-01 00:31:15,
145,2,salary,1483.37,2023-09-15 00:31:15,
146,2,salary,2013.44,2023-12-15 00:31:15,
147,2,annual bonus,8967.88,2023-12-15 00:31:15,
148,2,salary,2439.75,2024-03-15 00:31:15,
149,2,training,6635.4,2024-07-01 00:31:15,
150,2,salary,1425.68,2024-08-30 00:31:15,
151,3,salary,1928.89,2010-10-15 00:31:15,
