LogisticsID,SalesOrderID,ProductID,PlantID,WarehouseID,EmployeeID,CustomerID,QuantityShippedIn,QuantityShippedOut,ShippingInDatetime,ShippingOutDatetime,DeliveryMethod,DeliveryStatusID,DeliveryDatetime,ClosingDatetime
1,378,294,6,1,11,576,784,467,2012-06-19 22:09:05,2012-08-06 22:09:05,Sea,1,2012-08-10 22:09:05,
2,681,235,7,9,66,619,955,611,2018-06-10 20:51:09,2018-08-02 20:51:09,Land,3,2018-08-09 20:51:09,2018-09-02 20:51:09
3,8427,341,5,7,73,409,816,944,2015-01-16 21:20:09,2015-02-17 21:20:09,Land,4,2015-02-19 21:20:09,
4,9623,86,10,2,53,997,760,850,2021-10-10 01:22:50,2021-12-07 01:22:50,Land,3,2021-12-18 01:22:50,2021-12-30 01:22:50
5,1292,464,2,7,67,215,289,286,2013-05-24 04:50:51,2013-06-28 04:50:51,Sea,5,2013-06-30 04:50:51,
6,834,56,4,2,91,997,326,973,2021-10-02 03:38:28,2021-11-10 03:38:28,Land,4,2021-11-14 03:38:28,
7,5567,112,2,2,15,318,853,280,2012-06-18 08:31:13,2012-07-28 08:31:13,Land,3,2012-08-04 08:31:13,2012-08-25 08:31:13
8,700,146,5,4,68,697,796,427,2016-10-19 20:49:41,2016-11-24 20:49:41,Land,2,2016-11-30 20:49:41,
9,4779,243,7,5,80,147,159,601,2019-07-07 00:17:19,2019-08-13 00:17:19,Land,5,2019-08-27 00:17:19,
10,9274,94,6,2,1,748,559,372,2021-10-02 17:43:38,2021-11-10 17:43:38,Air,4,2021-11-20 17:43:38,
11,9803,383,4,3,73,350,228,766,2012-07-13 01:51:35,2012-08-12 01:51:35,Land,1,2012-08-22 01:51:35,
12,8304,86,10,2,83,738,936,235,2016-11-05 18:13:19,2016-12-25 18:13:19,Sea,5,2017-01-01 18:13:19,
13,622,373,10,9,82,798,473,759,2019-11-26 11:01:44,2020-01-17 11:01:44,Land,5,2020-01-30 11:01:44,
14,9403,345,3,7,86,534,641,653,2018-06-23 04:47:57,2018-08-22 04:47:57,Sea,3,2018-09-03 04:47:57,2018-09-29 04:47:57
15,3337,182,8,7,9,461,924,328,2017-05-13 19:40:01,2017-07-11 19:40:01,Sea,4,2017-07-16 19:40:01,
