ProductionID,ProductID,PlantID,ProductionStartDateTime,ProductionEndDateTime,BatchID,QualityStatusID,EmployeeID,Quantity
1,130,7,2021-06-29 20:31:47,2021-07-27 20:31:47,147,7,99,707
2,177,2,2014-02-13 04:36:18,2014-03-10 04:36:18,7,29,21,753
3,156,1,2015-06-26 06:31:07,2015-07-11 06:31:07,196,3,20,933
4,126,4,2017-01-29 02:35:23,2017-02-20 02:35:23,23,19,43,377
5,488,10,2013-04-19 01:06:23,2013-05-11 01:06:23,181,16,73,593
6,478,4,2021-08-23 17:46:24,2021-09-06 17:46:24,87,26,98,884
7,233,2,2020-06-15 13:03:28,2020-07-08 13:03:28,127,30,64,84
8,249,1,2010-09-22 09:50:18,2010-10-19 09:50:18,50,2,45,421
9,232,1,2017-01-14 09:58:00,2017-02-05 09:58:00,147,10,10,133
10,466,7,2015-05-15 03:32:51,2015-06-02 03:32:51,2,11,12,987
11,130,9,2019-02-28 19:04:41,2019-03-20 19:04:41,60,25,82,647
12,303,6,2020-01-27 15:18:40,2020-02-18 15:18:40,54,8,58,395
13,133,2,2011-06-17 15:17:29,2011-07-09 15:17:29,194,18,59,783
14,207,8,2017-04-05 02:05:54,2017-05-02 02:05:54,119,28,86,447
15,32,1,2012-03-16 20:44:49,2012-04-12 20:44:49,100,9,29,318
16,483,10,2016-06-06 01:51:35,2016-06-25 01:51:35,184,15,87,651
17,432,4,2014-12-09 23:53:37,2015-01-02 23:53:37,21,21,98,484
18,122,1,2023-03-01 08:20:04,2023-03-27 08:20:04,59,8,23,271
19,406,7,2015-12-25 03:32:04,2016-01-17 03:32:04,192,27,93,743
20,171,8,2017-12-24 14:30:44,2018-01-14 14:30:44,68,28,44,120
21,1,5,2020-08-20 01:07:27,2020-09-15 01:07:27,139,9,69,880
22,301,5,2023-07-14 21:51:35,2023-07-28 21:51:35,180,28,57,743
23,112,2,2011-09-05 07:23:05,2011-10-01 07:23:05,139,3,45,397
24,439,6,2012-10-09 02:26:08,2012-10-23 02:26:08,75,6,62,53
25,305,10,2015-01-29 07:23:01,2015-02-19 07:23:01,93,27,75,736
26,154,8,2018-07-11 02:20:43,2018-08-08 02:20:43,106,27,16,108
27,27,8,2017-06-30 23:08:33,2017-07-15 23:08:33,148,16,51,315
28,231,6,2014-07-07 15:34:56,2014-08-04 15:34:56,75,22,96,360
29,175,8,2016-05-11 19:59:50,2016-05-31 19:59:50,39,17,73,810
30,78,3,2016-11-17 19:48:17,2016-12-08 19:48:17,100,22,74,216
31,260,6,2018-02-19 02:42:56,2018-03-09 02:42:56,69,22,4,777
32,297,1,2022-09-03 00:11:39,2022-09-20 00:11:39,156,17,34,980
33,195,9,2014-04-01 01:33:59,2014-04-25 01:33:59,90,24,54,12
34,223,7,2013-03-28 23:23:09,2013-04-24 23:23:09,186,19,94,612
35,473,7,2014-10-13 22:00:31,2014-10-29 22:00:31,18,7,67,136
36,210,9,2021-07-24 10:10:53,2021-08-21 10:10:53,122,2,80,786
37,227,8,2016-01-15 18:08:40,2016-02-11 18:08:40,117,15,77,384
38,21,4,2022-07-04 10:10:39,2022-07-25 10:10:39,146,19,53,148
39,115,8,2020-04-19 17:12:44,2020-05-09 17:12:44,120,19,24,901
40,414,8,2022-04-13 02:11:36,2022-05-08 02:11:36,18,22,101,88
41,485,8,2019-04-09 07:59:56,2019-04-23 07:59:56,195,8,46,127
42,284,10,2014-01-24 01:35:30,2014-02-09 01:35:30,108,6,24,677
43,17,7,2021-03-06 03:40:40,2021-04-01 03:40:40,139,29,84,939
44,148,4,2011-06-05 20:21:32,2011-06-21 20:21:32,42,8,25,701
45,124,1,2021-10-08 07:48:53,2021-11-03 07:48:53,37,7,79,604
