SalesOrderID,ProductID,QuantitySold,OrderDate,Deposit,TransactionDate,PaymentMethod,TotalAmount,Tax,Discount,WarehouseID,EmployeeID,CustomerID
1,390,27,2018-12-15 02:37:36,534.29,2019-02-10 02:37:36,Credit Card,9134.67,11.3,107.86,1,41,966
2,324,95,2015-06-29 00:24:59,814.81,2015-08-17 00:24:59,Cash,289.12,782.32,62.21,1,86,270
3,220,65,2022-08-07 09:48:45,467.52,2022-09-22 09:48:45,Bank Transfer,4342.47,60.33,469.84,4,29,570
4,410,14,2011-06-16 17:38:13,56.89,2011-07-20 17:38:13,Credit Card,542.91,621.56,58.29,10,93,539
5,71,15,2021-10-24 02:13:19,686.26,2021-12-12 02:13:19,Bank Transfer,3496.8,23.68,484.24,9,78,287
6,319,25,2014-03-20 02:36:40,613.92,2014-05-03 02:36:40,Bank Transfer,2205.37,385.58,485.9,7,78,12
7,216,82,2013-05-22 19:12:39,112.98,2013-07-11 19:12:39,Bank Transfer,4279.34,221.7,116.98,3,100,781
8,350,27,2019-11-02 01:57:44,552.68,2019-12-06 01:57:44,Bank Transfer,1666.47,240.45,105.95,6,42,696
9,70,60,2017-04-25 14:04:51,692,2017-06-09 14:04:51,Cash,6125.74,754.7,158.49,2,70,874
10,323,69,2016-05-24 13:26:08,444.28,2016-07-22 13:26:08,Credit Card,4097.91,402.03,432.74,8,64,416
11,483,94,2016-09-11 18:26:17,770.69,2016-10-26 18:26:17,Cash,5472.23,781.75,235.78,4,2,525
12,131,65,2020-03-29 18:52:07,210.91,2020-05-18 18:52:07,Cash,1319.37,916.29,195.91,7,28,134
13,172,55,2014-08-21 04:22:06,508.12,2014-10-09 04:22:06,Bank Transfer,9956.3,354.43,155.04,10,98,800
14,206,60,2011-05-27 14:13:47,854.92,2011-07-03 14:13:47,Bank Transfer,192.58,749.54,283.64,8,46,9
15,112,68,2024-08-10 04:01:23,76.86,2024-09-09 04:01:23,Bank Transfer,8815.37,648.46,128.69,9,70,3
16,182,27,2023-03-11 02:36:27,70.12,2023-04-12 02:36:27,Credit Card,113.94,361.04,266.44,6,86,195
17,353,70,2014-10-16 13:35:17,320.81,2014-11-24 13:35:17,Bank Transfer,2940.37,184.76,164.18,2,36,938
18,468,9,2016-06-10 00:11:19,997.91,2016-08-08 00:11:19,Cash,9465.4,302.32,441.62,8,50,29
19,397,67,2015-12-31 17:09:48,744.47,2016-02-02 17:09:48,Credit Card,1877.3,359.6,339.64,9,16,989
20,197,77,2023-11-16 11:39:51,355.1,2024-01-07 11:39:51,Bank Transfer,7546.8,645.05,183.06,5,87,744
21,390,76,2019-05-10 15:16:17,190.14,2019-06-22 15:16:17,Bank Transfer,4281.3,261,357.97,6,74,956
22,11,34,2016-11-20 13:10:21,741.03,2017-01-07 13:10:21,Bank Transfer,6755.11,8.21,307.19,4,74,815
